organization_profile,risk_level,recommended_strategy,recommended_action,optimization_score,explanation
small_company,Low,Password Only,Allow login or use lightweight authentication,0.2,"Password Only was selected for a Low risk login because it had the best optimization score among the allowed strategies. The score balances security=2, cost=1, friction=1, and complexity=1 using weights security=0.4, cost=0.3, friction=0.2, complexity=0.1. Final optimization score: 0.2."
small_company,Medium,App MFA,Require MFA,0.2,"App MFA was selected for a Medium risk login because it had the best optimization score among the allowed strategies. The score balances security=7, cost=4, friction=5, and complexity=4 using weights security=0.4, cost=0.3, friction=0.2, complexity=0.1. Final optimization score: 0.2."
small_company,High,Passwordless,Require stronger MFA or passwordless authentication,0.5,"Passwordless was selected for a High risk login because it had the best optimization score among the allowed strategies. The score balances security=9, cost=6, friction=3, and complexity=7 using weights security=0.4, cost=0.3, friction=0.2, complexity=0.1. Final optimization score: 0.5."
small_company,Critical,Block Login,Block login or require additional identity verification,,Critical-risk login detected. The safest action is to block the login or require additional identity verification before access is allowed.
bank,Low,SMS MFA,Allow login or use lightweight authentication,2.5,"SMS MFA was selected for a Low risk login because it had the best optimization score among the allowed strategies. The score balances security=5, cost=3, friction=4, and complexity=3 using weights security=0.7, cost=0.1, friction=0.1, complexity=0.1. Final optimization score: 2.5."
bank,Medium,App MFA,Require MFA,3.6,"App MFA was selected for a Medium risk login because it had the best optimization score among the allowed strategies. The score balances security=7, cost=4, friction=5, and complexity=4 using weights security=0.7, cost=0.1, friction=0.1, complexity=0.1. Final optimization score: 3.6."
bank,High,Passwordless,Require stronger MFA or passwordless authentication,4.7,"Passwordless was selected for a High risk login because it had the best optimization score among the allowed strategies. The score balances security=9, cost=6, friction=3, and complexity=7 using weights security=0.7, cost=0.1, friction=0.1, complexity=0.1. Final optimization score: 4.7."
bank,Critical,Block Login,Block login or require additional identity verification,,Critical-risk login detected. The safest action is to block the login or require additional identity verification before access is allowed.
school,Low,SMS MFA,Allow login or use lightweight authentication,0.4,"SMS MFA was selected for a Low risk login because it had the best optimization score among the allowed strategies. The score balances security=5, cost=3, friction=4, and complexity=3 using weights security=0.45, cost=0.25, friction=0.2, complexity=0.1. Final optimization score: 0.4."
school,Medium,App MFA,Require MFA,0.75,"App MFA was selected for a Medium risk login because it had the best optimization score among the allowed strategies. The score balances security=7, cost=4, friction=5, and complexity=4 using weights security=0.45, cost=0.25, friction=0.2, complexity=0.1. Final optimization score: 0.75."
school,High,Passwordless,Require stronger MFA or passwordless authentication,1.25,"Passwordless was selected for a High risk login because it had the best optimization score among the allowed strategies. The score balances security=9, cost=6, friction=3, and complexity=7 using weights security=0.45, cost=0.25, friction=0.2, complexity=0.1. Final optimization score: 1.25."
school,Critical,Block Login,Block login or require additional identity verification,,Critical-risk login detected. The safest action is to block the login or require additional identity verification before access is allowed.
technology_company,Low,SMS MFA,Allow login or use lightweight authentication,1.65,"SMS MFA was selected for a Low risk login because it had the best optimization score among the allowed strategies. The score balances security=5, cost=3, friction=4, and complexity=3 using weights security=0.6, cost=0.1, friction=0.15, complexity=0.15. Final optimization score: 1.65."
technology_company,Medium,App MFA,Require MFA,2.45,"App MFA was selected for a Medium risk login because it had the best optimization score among the allowed strategies. The score balances security=7, cost=4, friction=5, and complexity=4 using weights security=0.6, cost=0.1, friction=0.15, complexity=0.15. Final optimization score: 2.45."
technology_company,High,Passwordless,Require stronger MFA or passwordless authentication,3.3,"Passwordless was selected for a High risk login because it had the best optimization score among the allowed strategies. The score balances security=9, cost=6, friction=3, and complexity=7 using weights security=0.6, cost=0.1, friction=0.15, complexity=0.15. Final optimization score: 3.3."
technology_company,Critical,Block Login,Block login or require additional identity verification,,Critical-risk login detected. The safest action is to block the login or require additional identity verification before access is allowed.
